Driver,Kart,Tires,Glider,Weight,Acceleration,On-Road Traction,Off-Road Traction,Mini Turbo,Ground Speed,Water Speed,Anti-Gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-Gravity Handling,Air Handling
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Metal, Gold Tires","Wario Wing, Plane Glider, Gold Glider",5,2.5,3.75,2.25,2.5,4.75,4.75,4,4.5,2.75,2.5,2,1.5
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Monster, Hot Monster","Cloud Glider, Parachute, Flower Glider, Paper Glider",4.5,3.25,4,3.75,3.25,4,4.75,4.25,4,2.25,2,2,2
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Monster, Hot Monster","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.75,3.25,4.25,3.5,3.25,4,4.5,4.25,4,2.25,2.25,1.75,2
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Monster, Hot Monster","Super Glider, Waddle Wing, Hylian Kite",4.75,3,4,3.75,3,4.25,4.75,4,4.25,2.25,2,2,1.75
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Monster, Hot Monster","Wario Wing, Plane Glider, Gold Glider",5,3,4.25,3.5,3,4.25,4.5,4.25,4.25,2.25,2.25,1.75,1.75
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Off-Road, Retro Off-Road, Triforce Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",4.25,3.5,4,3.5,3,4.25,5.25,4.25,4,2.5,2,2.5,2.25
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Off-Road, Retro Off-Road, Triforce Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.5,3.5,4.25,3.25,3,4.25,5,4.25,4,2.5,2.25,2.25,2.25
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Off-Road, Retro Off-Road, Triforce Tires","Super Glider, Waddle Wing, Hylian Kite",4.5,3.25,4,3.5,2.75,4.5,5.25,4,4.25,2.5,2,2.5,2
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Off-Road, Retro Off-Road, Triforce Tires","Wario Wing, Plane Glider, Gold Glider",4.75,3.25,4.25,3.25,2.75,4.5,5,4.25,4.25,2.5,2.25,2.25,2
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Roller, Azure Roller","Cloud Glider, Parachute, Flower Glider, Paper Glider",3.5,4.25,3.25,3,4.25,3.5,5,3.75,4.5,3.25,2.75,3,2.75
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Roller, Azure Roller","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.75,4.25,3.5,2.75,4.25,3.5,4.75,3.75,4.5,3.25,3,2.75,2.75
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Roller, Azure Roller","Super Glider, Waddle Wing, Hylian Kite",3.75,4,3.25,3,4,3.75,5,3.5,4.75,3.25,2.75,3,2.5
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Roller, Azure Roller","Wario Wing, Plane Glider, Gold Glider",4,4,3.5,2.75,4,3.75,4.75,3.75,4.75,3.25,3,2.75,2.5
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Slick, Cyber Slick","Cloud Glider, Parachute, Flower Glider, Paper Glider",4.25,3,4.25,2,2.75,4.5,4.25,4.75,3.75,2.75,1.75,2.5,2
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Slick, Cyber Slick","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.5,3,4.5,1.75,2.75,4.5,4,4.75,3.75,2.75,2,2.25,2
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Slick, Cyber Slick","Super Glider, Waddle Wing, Hylian Kite",4.5,2.75,4.25,2,2.5,4.75,4.25,4.5,4,2.75,1.75,2.5,1.75
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Slick, Cyber Slick","Wario Wing, Plane Glider, Gold Glider",4.75,2.75,4.5,1.75,2.5,4.75,4,4.75,4,2.75,2,2.25,1.75
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Slim, Wood, Crimson Slim","Cloud Glider, Parachute, Flower Glider, Paper Glider",4,3.25,4.25,2.25,3.25,4.25,4.75,4.75,4.25,3.25,2.75,2.75,2.75
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Slim, Wood, Crimson Slim","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.25,3.25,4.5,2,3.25,4.25,4.5,4.75,4.25,3.25,3,2.5,2.75
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Slim, Wood, Crimson Slim","Super Glider, Waddle Wing, Hylian Kite",4.25,3,4.25,2.25,3,4.5,4.75,4.5,4.5,3.25,2.75,2.75,2.5
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Slim, Wood, Crimson Slim","Wario Wing, Plane Glider, Gold Glider",4.5,3,4.5,2,3,4.5,4.5,4.75,4.5,3.25,3,2.5,2.5
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Sponge, Cushion","Cloud Glider, Parachute, Flower Glider, Paper Glider",3.75,3.75,3.75,3.5,3.75,3.75,4.5,4,4.75,2.75,2,2.5,2.5
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Sponge, Cushion","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4,3.75,4,3.25,3.75,3.75,4.25,4,4.75,2.75,2.25,2.25,2.5
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Sponge, Cushion","Super Glider, Waddle Wing, Hylian Kite",4,3.5,3.75,3.5,3.5,4,4.5,3.75,5,2.75,2,2.5,2.25
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Sponge, Cushion","Wario Wing, Plane Glider, Gold Glider",4.25,3.5,4,3.25,3.5,4,4.25,4,5,2.75,2.25,2.25,2.25
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Standard, Blue Standard, GLA Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",4,3.75,3.75,3.25,3.5,4,5,4.25,4.5,3,2.5,2.75,2.5
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Standard, Blue Standard, GLA Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.25,3.75,4,3,3.5,4,4.75,4.25,4.5,3,2.75,2.5,2.5
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Standard, Blue Standard, GLA Tires","Super Glider, Waddle Wing, Hylian Kite",4.25,3.5,3.75,3.25,3.25,4.25,5,4,4.75,3,2.5,2.75,2.25
"Bowser    , Morton    ","Pipe Frame, Varmint, City Tripper","Standard, Blue Standard, GLA Tires","Wario Wing, Plane Glider, Gold Glider",4.5,3.5,4,3,3.25,4.25,4.75,4.25,4.75,3,2.75,2.5,2.25
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Button, Leaf Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",3.5,3,3,2.25,3.25,4.5,4.75,4.75,4.75,2.5,2.25,2.5,2.5
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Button, Leaf Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.75,3,3.25,2,3.25,4.5,4.5,4.75,4.75,2.5,2.5,2.25,2.5
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Button, Leaf Tires","Super Glider, Waddle Wing, Hylian Kite",3.75,2.75,3,2.25,3,4.75,4.75,4.5,5,2.5,2.25,2.5,2.25
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Button, Leaf Tires","Wario Wing, Plane Glider, Gold Glider",4,2.75,3.25,2,3,4.75,4.5,4.75,5,2.5,2.5,2.25,2.25
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Metal, Gold Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",4.5,1.75,3,2,2,5.25,5,4.5,4.75,2.25,2,1.75,2
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Metal, Gold Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.75,1.75,3.25,1.75,2,5.25,4.75,4.5,4.75,2.25,2.25,1.5,2
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Metal, Gold Tires","Super Glider, Waddle Wing, Hylian Kite",4.75,1.5,3,2,1.75,5.5,5,4.25,5,2.25,2,1.75,1.75
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Metal, Gold Tires","Wario Wing, Plane Glider, Gold Glider",5,1.5,3.25,1.75,1.75,5.5,4.75,4.5,5,2.25,2.25,1.5,1.75
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Monster, Hot Monster","Cloud Glider, Parachute, Flower Glider, Paper Glider",4.5,2.25,3.5,3.25,2.5,4.75,4.75,4.75,4.5,1.75,1.75,1.5,2.25
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Monster, Hot Monster","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.75,2.25,3.75,3,2.5,4.75,4.5,4.75,4.5,1.75,2,1.25,2.25
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Monster, Hot Monster","Super Glider, Waddle Wing, Hylian Kite",4.75,2,3.5,3.25,2.25,5,4.75,4.5,4.75,1.75,1.75,1.5,2
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Monster, Hot Monster","Wario Wing, Plane Glider, Gold Glider",5,2,3.75,3,2.25,5,4.5,4.75,4.75,1.75,2,1.25,2
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Off-Road, Retro Off-Road, Triforce Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",4.25,2.5,3.5,3,2.25,5,5.25,4.75,4.5,2,1.75,2,2.5
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Off-Road, Retro Off-Road, Triforce Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.5,2.5,3.75,2.75,2.25,5,5,4.75,4.5,2,2,1.75,2.5
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Off-Road, Retro Off-Road, Triforce Tires","Super Glider, Waddle Wing, Hylian Kite",4.5,2.25,3.5,3,2,5.25,5.25,4.5,4.75,2,1.75,2,2.25
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Off-Road, Retro Off-Road, Triforce Tires","Wario Wing, Plane Glider, Gold Glider",4.75,2.25,3.75,2.75,2,5.25,5,4.75,4.75,2,2,1.75,2.25
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Roller, Azure Roller","Cloud Glider, Parachute, Flower Glider, Paper Glider",3.5,3.25,2.75,2.5,3.5,4.25,5,4.25,5,2.75,2.5,2.5,3
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Roller, Azure Roller","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.75,3.25,3,2.25,3.5,4.25,4.75,4.25,5,2.75,2.75,2.25,3
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Roller, Azure Roller","Super Glider, Waddle Wing, Hylian Kite",3.75,3,2.75,2.5,3.25,4.5,5,4,5.25,2.75,2.5,2.5,2.75
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Roller, Azure Roller","Wario Wing, Plane Glider, Gold Glider",4,3,3,2.25,3.25,4.5,4.75,4.25,5.25,2.75,2.75,2.25,2.75
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Slick, Cyber Slick","Cloud Glider, Parachute, Flower Glider, Paper Glider",4.25,2,3.75,1.5,2,5.25,4.25,5.25,4.25,2.25,1.5,2,2.25
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Slick, Cyber Slick","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.5,2,4,1.25,2,5.25,4,5.25,4.25,2.25,1.75,1.75,2.25
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Slick, Cyber Slick","Super Glider, Waddle Wing, Hylian Kite",4.5,1.75,3.75,1.5,1.75,5.5,4.25,5,4.5,2.25,1.5,2,2
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Slick, Cyber Slick","Wario Wing, Plane Glider, Gold Glider",4.75,1.75,4,1.25,1.75,5.5,4,5.25,4.5,2.25,1.75,1.75,2
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Slim, Wood, Crimson Slim","Cloud Glider, Parachute, Flower Glider, Paper Glider",4,2.25,3.75,1.75,2.5,5,4.75,5.25,4.75,2.75,2.5,2.25,3
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Slim, Wood, Crimson Slim","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.25,2.25,4,1.5,2.5,5,4.5,5.25,4.75,2.75,2.75,2,3
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Slim, Wood, Crimson Slim","Super Glider, Waddle Wing, Hylian Kite",4.25,2,3.75,1.75,2.25,5.25,4.75,5,5,2.75,2.5,2.25,2.75
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Slim, Wood, Crimson Slim","Wario Wing, Plane Glider, Gold Glider",4.5,2,4,1.5,2.25,5.25,4.5,5.25,5,2.75,2.75,2,2.75
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Sponge, Cushion","Cloud Glider, Parachute, Flower Glider, Paper Glider",3.75,2.75,3.25,3,3,4.5,4.5,4.5,5.25,2.25,1.75,2,2.75
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Sponge, Cushion","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4,2.75,3.5,2.75,3,4.5,4.25,4.5,5.25,2.25,2,1.75,2.75
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Sponge, Cushion","Super Glider, Waddle Wing, Hylian Kite",4,2.5,3.25,3,2.75,4.75,4.5,4.25,5.5,2.25,1.75,2,2.5
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Sponge, Cushion","Wario Wing, Plane Glider, Gold Glider",4.25,2.5,3.5,2.75,2.75,4.75,4.25,4.5,5.5,2.25,2,1.75,2.5
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Standard, Blue Standard, GLA Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",4,2.75,3.25,2.75,2.75,4.75,5,4.75,5,2.5,2.25,2.25,2.75
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Standard, Blue Standard, GLA Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.25,2.75,3.5,2.5,2.75,4.75,4.75,4.75,5,2.5,2.5,2,2.75
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Standard, Blue Standard, GLA Tires","Super Glider, Waddle Wing, Hylian Kite",4.25,2.5,3.25,2.75,2.5,5,5,4.5,5.25,2.5,2.25,2.25,2.5
"Bowser    , Morton    ","Prancer, Sport Bike, Jet Bike","Standard, Blue Standard, GLA Tires","Wario Wing, Plane Glider, Gold Glider",4.5,2.5,3.5,2.5,2.5,5,4.75,4.75,5.25,2.5,2.5,2,2.5
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Button, Leaf Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",3.75,3,3,1.75,3.25,4.5,4.5,4.75,4.75,2.5,2,2.75,2.25
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Button, Leaf Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4,3,3.25,1.5,3.25,4.5,4.25,4.75,4.75,2.5,2.25,2.5,2.25
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Button, Leaf Tires","Super Glider, Waddle Wing, Hylian Kite",4,2.75,3,1.75,3,4.75,4.5,4.5,5,2.5,2,2.75,2
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Button, Leaf Tires","Wario Wing, Plane Glider, Gold Glider",4.25,2.75,3.25,1.5,3,4.75,4.25,4.75,5,2.5,2.25,2.5,2
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Metal, Gold Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",4.75,1.75,3,1.5,2,5.25,4.75,4.5,4.75,2.25,1.75,2,1.75
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Metal, Gold Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",5,1.75,3.25,1.25,2,5.25,4.5,4.5,4.75,2.25,2,1.75,1.75
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Metal, Gold Tires","Super Glider, Waddle Wing, Hylian Kite",5,1.5,3,1.5,1.75,5.5,4.75,4.25,5,2.25,1.75,2,1.5
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Metal, Gold Tires","Wario Wing, Plane Glider, Gold Glider",5.25,1.5,3.25,1.25,1.75,5.5,4.5,4.5,5,2.25,2,1.75,1.5
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Monster, Hot Monster","Cloud Glider, Parachute, Flower Glider, Paper Glider",4.75,2.25,3.5,2.75,2.5,4.75,4.5,4.75,4.5,1.75,1.5,1.75,2
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Monster, Hot Monster","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",5,2.25,3.75,2.5,2.5,4.75,4.25,4.75,4.5,1.75,1.75,1.5,2
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Monster, Hot Monster","Super Glider, Waddle Wing, Hylian Kite",5,2,3.5,2.75,2.25,5,4.5,4.5,4.75,1.75,1.5,1.75,1.75
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Monster, Hot Monster","Wario Wing, Plane Glider, Gold Glider",5.25,2,3.75,2.5,2.25,5,4.25,4.75,4.75,1.75,1.75,1.5,1.75
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Off-Road, Retro Off-Road, Triforce Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",4.5,2.5,3.5,2.5,2.25,5,5,4.75,4.5,2,1.5,2.25,2.25
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Off-Road, Retro Off-Road, Triforce Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.75,2.5,3.75,2.25,2.25,5,4.75,4.75,4.5,2,1.75,2,2.25
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Off-Road, Retro Off-Road, Triforce Tires","Super Glider, Waddle Wing, Hylian Kite",4.75,2.25,3.5,2.5,2,5.25,5,4.5,4.75,2,1.5,2.25,2
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Off-Road, Retro Off-Road, Triforce Tires","Wario Wing, Plane Glider, Gold Glider",5,2.25,3.75,2.25,2,5.25,4.75,4.75,4.75,2,1.75,2,2
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Roller, Azure Roller","Cloud Glider, Parachute, Flower Glider, Paper Glider",3.75,3.25,2.75,2,3.5,4.25,4.75,4.25,5,2.75,2.25,2.75,2.75
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Roller, Azure Roller","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4,3.25,3,1.75,3.5,4.25,4.5,4.25,5,2.75,2.5,2.5,2.75
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Roller, Azure Roller","Super Glider, Waddle Wing, Hylian Kite",4,3,2.75,2,3.25,4.5,4.75,4,5.25,2.75,2.25,2.75,2.5
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Roller, Azure Roller","Wario Wing, Plane Glider, Gold Glider",4.25,3,3,1.75,3.25,4.5,4.5,4.25,5.25,2.75,2.5,2.5,2.5
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Slick, Cyber Slick","Cloud Glider, Parachute, Flower Glider, Paper Glider",4.5,2,3.75,1,2,5.25,4,5.25,4.25,2.25,1.25,2.25,2
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Slick, Cyber Slick","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.75,2,4,0.75,2,5.25,3.75,5.25,4.25,2.25,1.5,2,2
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Slick, Cyber Slick","Super Glider, Waddle Wing, Hylian Kite",4.75,1.75,3.75,1,1.75,5.5,4,5,4.5,2.25,1.25,2.25,1.75
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Slick, Cyber Slick","Wario Wing, Plane Glider, Gold Glider",5,1.75,4,0.75,1.75,5.5,3.75,5.25,4.5,2.25,1.5,2,1.75
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Slim, Wood, Crimson Slim","Cloud Glider, Parachute, Flower Glider, Paper Glider",4.25,2.25,3.75,1.25,2.5,5,4.5,5.25,4.75,2.75,2.25,2.5,2.75
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Slim, Wood, Crimson Slim","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.5,2.25,4,1,2.5,5,4.25,5.25,4.75,2.75,2.5,2.25,2.75
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Slim, Wood, Crimson Slim","Super Glider, Waddle Wing, Hylian Kite",4.5,2,3.75,1.25,2.25,5.25,4.5,5,5,2.75,2.25,2.5,2.5
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Slim, Wood, Crimson Slim","Wario Wing, Plane Glider, Gold Glider",4.75,2,4,1,2.25,5.25,4.25,5.25,5,2.75,2.5,2.25,2.5
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Sponge, Cushion","Cloud Glider, Parachute, Flower Glider, Paper Glider",4,2.75,3.25,2.5,3,4.5,4.25,4.5,5.25,2.25,1.5,2.25,2.5
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Sponge, Cushion","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.25,2.75,3.5,2.25,3,4.5,4,4.5,5.25,2.25,1.75,2,2.5
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Sponge, Cushion","Super Glider, Waddle Wing, Hylian Kite",4.25,2.5,3.25,2.5,2.75,4.75,4.25,4.25,5.5,2.25,1.5,2.25,2.25
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Sponge, Cushion","Wario Wing, Plane Glider, Gold Glider",4.5,2.5,3.5,2.25,2.75,4.75,4,4.5,5.5,2.25,1.75,2,2.25
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Standard, Blue Standard, GLA Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",4.25,2.75,3.25,2.25,2.75,4.75,4.75,4.75,5,2.5,2,2.5,2.5
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Standard, Blue Standard, GLA Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.5,2.75,3.5,2,2.75,4.75,4.5,4.75,5,2.5,2.25,2.25,2.5
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Standard, Blue Standard, GLA Tires","Super Glider, Waddle Wing, Hylian Kite",4.5,2.5,3.25,2.25,2.5,5,4.75,4.5,5.25,2.5,2,2.5,2.25
"Bowser    , Morton    ","Sneeker, Gold Standard, Master Cycle","Standard, Blue Standard, GLA Tires","Wario Wing, Plane Glider, Gold Glider",4.75,2.5,3.5,2,2.5,5,4.5,4.75,5.25,2.5,2.25,2.25,2.25
"Bowser    , Morton    ","Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow","Button, Leaf Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",3.5,3.75,3.5,3,3.75,4,4.5,5,4.75,2.75,2.25,3,2.5
"Bowser    , Morton    ","Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow","Button, Leaf Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.75,3.75,3.75,2.75,3.75,4,4.25,5,4.75,2.75,2.5,2.75,2.5
"Bowser    , Morton    ","Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow","Button, Leaf Tires","Super Glider, Waddle Wing, Hylian Kite",3.75,3.5,3.5,3,3.5,4.25,4.5,4.75,5,2.75,2.25,3,2.25
"Bowser    , Morton    ","Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow","Button, Leaf Tires","Wario Wing, Plane Glider, Gold Glider",4,3.5,3.75,2.75,3.5,4.25,4.25,5,5,2.75,2.5,2.75,2.25
"Bowser    , Morton    ","Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow","Metal, Gold Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",4.5,2.5,3.5,2.75,2.5,4.75,4.75,4.75,4.75,2.5,2,2.25,2
"Bowser    , Morton    ","Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow","Metal, Gold Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.75,2.5,3.75,2.5,2.5,4.75,4.5,4.75,4.75,2.5,2.25,2,2
"Bowser    , Morton    ","Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow","Metal, Gold Tires","Super Glider, Waddle Wing, Hylian Kite",4.75,2.25,3.5,2.75,2.25,5,4.75,4.5,5,2.5,2,2.25,1.75
"Bowser    , Morton    ","Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow","Metal, Gold Tires","Wario Wing, Plane Glider, Gold Glider",5,2.25,3.75,2.5,2.25,5,4.5,4.75,5,2.5,2.25,2,1.75
"Bowser    , Morton    ","Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow","Monster, Hot Monster","Cloud Glider, Parachute, Flower Glider, Paper Glider",4.5,3,4,4,3,4.25,4.5,5,4.5,2,1.75,2,2.25
"Bowser    , Morton    ","Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow","Monster, Hot Monster","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.75,3,4.25,3.75,3,4.25,4.25,5,4.5,2,2,1.75,2.25
"Bowser    , Morton    ","Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow","Monster, Hot Monster","Super Glider, Waddle Wing, Hylian Kite",4.75,2.75,4,4,2.75,4.5,4.5,4.75,4.75,2,1.75,2,2
"Bowser    , Morton    ","Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow","Monster, Hot Monster","Wario Wing, Plane Glider, Gold Glider",5,2.75,4.25,3.75,2.75,4.5,4.25,5,4.75,2,2,1.75,2
"Bowser    , Morton    ","Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow","Off-Road, Retro Off-Road, Triforce Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",4.25,3.25,4,3.75,2.75,4.5,5,5,4.5,2.25,1.75,2.5,2.5
"Bowser    , Morton    ","Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow","Off-Road, Retro Off-Road, Triforce Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",4.5,3.25,4.25,3.5,2.75,4.5,4.75,5,4.5,2.25,2,2.25,2.5
"Bowser    , Morton    ","Standard Bike, Flame Rider, Wild Wiggler, W 25 Silver Arrow","Off-Road, Retro Off-Road, Triforce Tires","Super Glider, Waddle Wing, Hylian Kite",4.5,3,4,3.75,2.5,4.75,5,4.75,4.75,2.25,1.75,2.5,2.25
